=== VTF Upscaler 7.0.0 Log — 2026-03-30 20:13:43 ===

[20:13:43] ⚡ Using cached scan for 1 files (instant)...
[20:13:43] 🔍 Scan done: 1 to upscale (0.3 MB), 0 skipped | batch size: 200
[20:13:43] 📦 Batch 1/1 (1 files)...
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame7.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame7.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame72.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame72.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame71.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame71.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame74.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame74.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame73.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame73.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame76.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame76.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame75.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame75.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame78.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame78.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame77.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame77.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame8.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame8.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame79.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame79.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame81.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame81.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame80.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame80.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame83.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame83.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame82.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame82.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame85.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame85.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame84.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame84.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame87.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame87.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame86.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame86.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame89.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame89.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame88.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame88.png done
